IBRA - Carteira do Dia 02/01/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
PETZ3;PETZ;ON      NM;309.729.428;0,048;
PLPL3;PLANOEPLANO;ON      NM;54.382.044;0,025;
PSSA3;PORTO SEGURO;ON  EJ  NM;181.531.496;0,204;
PTBL3;PORTOBELLO;ON      NM;54.759.327;0,016;
POSI3;POSITIVO TEC;ON      NM;73.288.753;0,020;
QUAL3;QUALICORP;ON      NM;278.477.812;0,037;
LJQQ3;QUERO-QUERO;ON  EJS NM;186.885.230;0,044;
RADL3;RAIADROGASIL;ON  ED  NM;1.275.798.515;1,465;
RAIZ4;RAIZEN;PN  EJ  N2;1.193.047.233;0,188;
RAPT4;RANDON PART;PN  EJ  N1;176.608.769;0,088;
RCSL3;RECRUSUL;ON;6.289.513;0,001;
RDOR3;REDE D OR;ON  EJ  NM;1.168.230.366;1,313;
ROMI3;ROMI;ON  EJ  NM;45.071.574;0,024;
RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,092;
SBSP3;SABESP;ON      NM;340.001.799;1,001;
SAPR11;SANEPAR;UNT EJ  N2;201.081.482;0,225;
SANB11;SANTANDER BR;UNT;342.918.449;0,433;
STBP3;SANTOS BRP;ON  EDJ NM;857.290.274;0,314;
SMTO3;SAO MARTINHO;ON      NM;142.377.330;0,163;
SEER3;SER EDUCA;ON      NM;52.255.107;0,016;
SRNA3;SERENA;ON      NM;334.702.211;0,134;
CSNA3;SID NACIONAL;ON;600.865.451;0,462;
SIMH3;SIMPAR;ON      NM;227.674.814;0,085;
SLCE3;SLC AGRICOLA;ON  EJ  NM;195.751.130;0,144;
SMFT3;SMART FIT;ON      NM;307.405.718;0,313;
SUZB3;SUZANO S.A.;ON      NM;683.452.836;1,485;
TAEE11;TAESA;UNT     N2;218.568.234;0,328;
TASA4;TAURUS ARMAS;PN      N2;68.452.423;0,041;
TGMA3;TEGMA;ON      NM;32.001.379;0,035;
VIVT3;TELEF BRASIL;ON  EJ;423.091.712;0,883;
TEND3;TENDA;ON      NM;121.681.013;0,071;
TIMS3;TIM;ON  EJ  NM;807.896.814;0,566;
TOTS3;TOTVS;ON      NM;514.122.351;0,677;
TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,409;
TRIS3;TRISUL;ON      NM;71.441.396;0,016;
TUPY3;TUPY;ON      NM;143.836.638;0,163;
UGPA3;ULTRAPAR;ON      NM;1.086.411.192;1,125;
UNIP6;UNIPAR;PNB ED;46.376.908;0,139;
USIM5;USIMINAS;PNA     N1;515.117.391;0,187;
VALE3;VALE;ON      NM;4.427.123.466;13,353;
VLID3;VALID;ON      NM;77.300.098;0,062;
VAMO3;VAMOS;ON  EJ  NM;421.383.330;0,166;
VBBR3;VIBRA;ON  EJ  NM;1.114.412.532;0,991;
VIVA3;VIVARA S.A.;ON      NM;129.410.977;0,173;
VVEO3;VIVEO;ON      NM;182.249.113;0,099;
VULC3;VULCABRAS;ON      NM;73.322.347;0,058;
WEGE3;WEG;ON      NM;1.481.593.024;2,137;
WIZC3;WIZ CO;ON      NM;75.273.443;0,021;
YDUQ3;YDUQS PART;ON      NM;289.347.914;0,253;
ZAMP3;ZAMP S.A.;ON      NM;263.294.225;0,059;
Quantidade Teórica Total;;;114.326.833.451;100,000
Redutor;;;484.030.111,78968300
